"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","End-to-End Checkout Flow","Complete successful checkout flow","0","0","0","1","0"
"","User Authentication","Login validation with multiple user types","0","0","0","3","0"
"","User Authentication","Locked out user cannot login","0","0","0","1","0"
"","User Authentication","Login fails with invalid password","0","0","0","1","0"
"","Product Browsing","Add product to cart from listing","0","0","0","1","0"
"","End-to-End Checkout Flow","Checkout fails without filling in required fields","0","0","0","1","0"
"","User Authentication","Login fails with invalid username","0","0","0","1","0"
"","Product Browsing","Sort products by price low to high","0","0","0","1","0"
"","Product Browsing","Products page displays items","0","0","0","1","0"
"","End-to-End Checkout Flow","Multiple items can be purchased together","0","0","0","1","0"
"","Product Browsing","View product detail page","0","0","0","1","0"
"","Product Browsing","Sort products by name A to Z","0","0","0","1","0"
"","User Authentication","Successful login with valid credentials","0","0","0","1","0"
