"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Mon Mar 02 11:10:01 UTC 2026","Mon Mar 02 11:10:02 UTC 2026","15","","User Authentication","","Login fails with invalid username","","Login fails with invalid username","  As a ShopSphere customer
  I want to log into my account
  So that I can access my personalised shopping experience"
"broken","Mon Mar 02 11:09:33 UTC 2026","Mon Mar 02 11:09:36 UTC 2026","3501","","Product API - HTTP Protocol Validation","","PUT update product returns HTTP 200","","PUT update product returns HTTP 200","  As a QA Engineer
  I want to validate the Product REST API
  So that the SOA backend services meet contract requirements"
"broken","Mon Mar 02 11:09:33 UTC 2026","Mon Mar 02 11:09:36 UTC 2026","3528","","User Service API Validation","","GET all users returns HTTP 200","","GET all users returns HTTP 200","  As a QA Engineer
  I want to validate User REST API endpoints
  So that user management SOA service is functioning correctly"
"skipped","Mon Mar 02 11:10:01 UTC 2026","Mon Mar 02 11:10:01 UTC 2026","18","","End-to-End Checkout Flow","","Checkout fails without filling in required fields","","Checkout fails without filling in required fields","  As a ShopSphere customer
  I want to complete a purchase
  So that I can receive my ordered items"
"skipped","Mon Mar 02 11:10:02 UTC 2026","Mon Mar 02 11:10:02 UTC 2026","8","","User Authentication","","Locked out user cannot login","","Locked out user cannot login","  As a ShopSphere customer
  I want to log into my account
  So that I can access my personalised shopping experience"
"broken","Mon Mar 02 11:09:36 UTC 2026","Mon Mar 02 11:09:36 UTC 2026","87","","User Service API Validation","","GET users in ascending sort order","","GET users in ascending sort order","  As a QA Engineer
  I want to validate User REST API endpoints
  So that user management SOA service is functioning correctly"
"broken","Mon Mar 02 11:09:33 UTC 2026","Mon Mar 02 11:09:36 UTC 2026","3474","","Product API - HTTP Protocol Validation","","POST create product returns HTTP 201","","POST create product returns HTTP 201","  As a QA Engineer
  I want to validate the Product REST API
  So that the SOA backend services meet contract requirements"
"skipped","Mon Mar 02 11:10:01 UTC 2026","Mon Mar 02 11:10:01 UTC 2026","35","","End-to-End Checkout Flow","","Multiple items can be purchased together","","Multiple items can be purchased together","  As a ShopSphere customer
  I want to complete a purchase
  So that I can receive my ordered items"
"skipped","Mon Mar 02 11:10:02 UTC 2026","Mon Mar 02 11:10:02 UTC 2026","25","","User Authentication","","Login fails with invalid password","","Login fails with invalid password","  As a ShopSphere customer
  I want to log into my account
  So that I can access my personalised shopping experience"
"skipped","Mon Mar 02 11:10:02 UTC 2026","Mon Mar 02 11:10:02 UTC 2026","8","","Product Browsing","","Sort products by name A to Z","","Sort products by name A to Z","  As a ShopSphere customer
  I want to browse and sort products
  So that I can find what I want to buy"
